DateRep;Country;Deaths_cumsum
3/16/20;Chumbivilcas;0
3/16/20;Cusco;0
3/16/20;Espinar;0
3/16/20;La Convencion;0
3/16/20;Paruro;0
3/16/20;Paucartambo;0
3/16/20;Quispicanchi;0
3/16/20;Urubamba;0
3/17/20;Acomayo;0
3/17/20;Anta;0
3/17/20;Calca;0
3/17/20;Canas;0
3/17/20;Canchis;0
3/17/20;Chumbivilcas;0
3/17/20;Cusco;0
3/17/20;Espinar;0
3/17/20;La Convencion;0
3/17/20;Paruro;0
3/17/20;Paucartambo;0
3/17/20;Quispicanchi;0
3/17/20;Urubamba;0
3/18/20;Acomayo;0
3/18/20;Anta;0
3/18/20;Calca;0
3/18/20;Canas;0
3/18/20;Canchis;0
3/18/20;Chumbivilcas;0
3/18/20;Cusco;0
3/18/20;Espinar;0
3/18/20;La Convencion;0
3/18/20;Paruro;0
3/18/20;Paucartambo;0
3/18/20;Quispicanchi;0
3/18/20;Urubamba;0
3/19/20;Acomayo;0
3/19/20;Anta;0
3/19/20;Calca;0
3/19/20;Canas;0
3/19/20;Canchis;0
3/19/20;Chumbivilcas;0
3/19/20;Cusco;0
3/19/20;Espinar;0
3/19/20;La Convencion;0
3/19/20;Paruro;0
3/19/20;Paucartambo;0
3/19/20;Quispicanchi;0
3/19/20;Urubamba;0
3/20/20;Acomayo;0
3/20/20;Anta;0
3/20/20;Calca;0
3/20/20;Canas;0
3/20/20;Canchis;0
3/20/20;Chumbivilcas;0
3/20/20;Cusco;0
3/20/20;Espinar;0
3/20/20;La Convencion;0
3/20/20;Paruro;0
3/20/20;Paucartambo;0
3/20/20;Quispicanchi;0
3/20/20;Urubamba;0
3/21/20;Acomayo;0
3/21/20;Anta;0
3/21/20;Calca;0
3/21/20;Canas;0
3/21/20;Canchis;0
3/21/20;Chumbivilcas;0
3/21/20;Cusco;0
3/21/20;Espinar;0
3/21/20;La Convencion;0
3/21/20;Paruro;0
3/21/20;Paucartambo;0
3/21/20;Quispicanchi;0
3/21/20;Urubamba;0
3/22/20;Acomayo;0
3/22/20;Anta;0
3/22/20;Calca;0
3/22/20;Canas;0
3/22/20;Canchis;0
3/22/20;Chumbivilcas;0
3/22/20;Cusco;0
3/22/20;Espinar;0
3/22/20;La Convencion;0
3/22/20;Paruro;0
3/22/20;Paucartambo;0
3/22/20;Quispicanchi;0
3/22/20;Urubamba;0
3/23/20;Acomayo;0
3/23/20;Anta;0
3/23/20;Calca;0
3/23/20;Canas;0
3/23/20;Canchis;0
3/23/20;Chumbivilcas;0
3/23/20;Cusco;0
3/23/20;Espinar;0
3/23/20;La Convencion;0
3/23/20;Paruro;0
3/23/20;Paucartambo;0
3/23/20;Quispicanchi;0
3/23/20;Urubamba;0
3/24/20;Acomayo;0
3/24/20;Anta;0
3/24/20;Calca;0
3/24/20;Canas;0
3/24/20;Canchis;0
3/24/20;Chumbivilcas;0
3/24/20;Cusco;1
3/24/20;Espinar;0
3/24/20;La Convencion;0
3/24/20;Paruro;0
3/24/20;Paucartambo;0
3/24/20;Quispicanchi;0
3/24/20;Urubamba;0
3/25/20;Acomayo;0
3/25/20;Anta;0
3/25/20;Calca;0
3/25/20;Canas;0
3/25/20;Canchis;0
3/25/20;Chumbivilcas;0
3/25/20;Cusco;1
3/25/20;Espinar;0
3/25/20;La Convencion;0
3/25/20;Paruro;0
3/25/20;Paucartambo;0
3/25/20;Quispicanchi;0
3/25/20;Urubamba;0
3/26/20;Acomayo;0
3/26/20;Anta;0
3/26/20;Calca;0
3/26/20;Canas;0
3/26/20;Canchis;0
3/26/20;Chumbivilcas;0
3/26/20;Cusco;1
3/26/20;Espinar;0
3/26/20;La Convencion;0
3/26/20;Paruro;0
3/26/20;Paucartambo;0
3/26/20;Quispicanchi;0
3/26/20;Urubamba;0
3/27/20;Acomayo;0
3/27/20;Anta;0
3/27/20;Calca;0
3/27/20;Canas;0
3/27/20;Canchis;0
3/27/20;Chumbivilcas;0
3/27/20;Cusco;2
3/27/20;Espinar;0
3/27/20;La Convencion;0
3/27/20;Paruro;0
3/27/20;Paucartambo;0
3/27/20;Quispicanchi;0
3/27/20;Urubamba;0
3/28/20;Acomayo;0
3/28/20;Anta;0
3/28/20;Calca;0
3/28/20;Canas;0
3/28/20;Canchis;0
3/28/20;Chumbivilcas;0
3/28/20;Cusco;2
3/28/20;Espinar;0
3/28/20;La Convencion;0
3/28/20;Paruro;0
3/28/20;Paucartambo;0
3/28/20;Quispicanchi;0
3/28/20;Urubamba;0
3/29/20;Acomayo;0
3/29/20;Anta;0
3/29/20;Calca;0
3/29/20;Canas;0
3/29/20;Canchis;0
3/29/20;Chumbivilcas;0
3/29/20;Cusco;2
3/29/20;Espinar;0
3/29/20;La Convencion;0
3/29/20;Paruro;0
3/29/20;Paucartambo;0
3/29/20;Quispicanchi;0
3/29/20;Urubamba;0
3/30/20;Acomayo;0
3/30/20;Anta;0
3/30/20;Calca;0
3/30/20;Canas;0
3/30/20;Canchis;0
3/30/20;Chumbivilcas;0
3/30/20;Cusco;2
3/30/20;Espinar;0
3/30/20;La Convencion;0
3/30/20;Paruro;0
3/30/20;Paucartambo;0
3/30/20;Quispicanchi;0
