DateRep;Country;Cases_cumsum
11/26/20;Canchis;3538
11/26/20;Chumbivilcas;914
11/26/20;Cusco;47651
11/26/20;Espinar;2246
11/26/20;La Convencion;6937
11/26/20;Paruro;501
11/26/20;Paucartambo;556
11/26/20;Quispicanchi;2682
11/26/20;Urubamba;1959
11/27/20;Acomayo;422
11/27/20;Anta;1937
11/27/20;Calca;1340
11/27/20;Canas;367
11/27/20;Canchis;3542
11/27/20;Chumbivilcas;915
11/27/20;Cusco;47748
11/27/20;Espinar;2248
11/27/20;La Convencion;6949
11/27/20;Paruro;502
11/27/20;Paucartambo;572
11/27/20;Quispicanchi;2691
11/27/20;Urubamba;2063
11/28/20;Acomayo;423
11/28/20;Anta;1942
11/28/20;Calca;1341
11/28/20;Canas;368
11/28/20;Canchis;3546
11/28/20;Chumbivilcas;918
11/28/20;Cusco;47794
11/28/20;Espinar;2250
11/28/20;La Convencion;6956
11/28/20;Paruro;0
11/28/20;Paucartambo;0
11/28/20;Quispicanchi;2693
11/28/20;Urubamba;2100
11/29/20;Acomayo;0
11/29/20;Anta;0
11/29/20;Calca;0
11/29/20;Canas;0
11/29/20;Canchis;0
11/29/20;Chumbivilcas;0
11/29/20;Cusco;47796
11/29/20;Espinar;0
11/29/20;La Convencion;0
11/29/20;Paruro;0
11/29/20;Paucartambo;0
11/29/20;Quispicanchi;0
11/29/20;Urubamba;2101
11/3/20;Acomayo;397
11/3/20;Anta;1875
11/3/20;Calca;1270
11/3/20;Canas;325
11/3/20;Canchis;3353
11/3/20;Chumbivilcas;847
11/3/20;Cusco;45634
11/3/20;Espinar;2026
11/3/20;La Convencion;6479
11/3/20;Paruro;468
11/3/20;Paucartambo;484
11/3/20;Quispicanchi;2536
11/3/20;Urubamba;1795
11/4/20;Acomayo;398
11/4/20;Anta;1880
11/4/20;Calca;1273
11/4/20;Canas;326
11/4/20;Canchis;3359
11/4/20;Chumbivilcas;851
11/4/20;Cusco;45747
11/4/20;Espinar;2042
11/4/20;La Convencion;6524
11/4/20;Paruro;474
11/4/20;Paucartambo;484
11/4/20;Quispicanchi;2543
11/4/20;Urubamba;1805
11/5/20;Acomayo;401
11/5/20;Anta;1883
11/5/20;Calca;1275
11/5/20;Canas;346
11/5/20;Canchis;3376
11/5/20;Chumbivilcas;853
11/5/20;Cusco;45835
11/5/20;Espinar;2051
11/5/20;La Convencion;6551
11/5/20;Paruro;476
11/5/20;Paucartambo;484
11/5/20;Quispicanchi;2549
11/5/20;Urubamba;1812
11/6/20;Acomayo;401
11/6/20;Anta;1884
11/6/20;Calca;1279
11/6/20;Canas;346
11/6/20;Canchis;3383
11/6/20;Chumbivilcas;857
11/6/20;Cusco;45960
11/6/20;Espinar;2067
11/6/20;La Convencion;6582
11/6/20;Paruro;477
